"model_id","seed","component","Feature","Gain","Cover","Frequency","rank"
"v2_lgb_lower_learning_rate",20260423,"frequency","DriverAge",0.402584598399104,0.289261130170476,0.220238095238095,1
"v2_lgb_lower_learning_rate",20260423,"frequency","logDensity",0.28430204377767,0.274642219422005,0.225793650793651,2
"v2_lgb_lower_learning_rate",20260423,"frequency","CarAge",0.077459401869425,0.119985239780938,0.128174603174603,3
"v2_lgb_lower_learning_rate",20260423,"frequency","Power",0.0706176091699958,0.0845652088972176,0.15,4
"v2_lgb_lower_learning_rate",20260423,"frequency","Region",0.0557199347068896,0.0615573127366789,0.113492063492063,5
"v2_lgb_lower_learning_rate",20260423,"frequency","Gas",0.0548377935338208,0.0802250036566765,0.0607142857142857,6
"v2_lgb_lower_learning_rate",20260423,"frequency","Brand",0.0544786185430949,0.0897638853360084,0.101587301587302,7
"v2_lgb_lower_learning_rate",20260423,"severity","DriverAge",0.390806628851196,0.351332530783397,0.274004683840749,1
"v2_lgb_lower_learning_rate",20260423,"severity","logDensity",0.165992903089355,0.19390342415465,0.214285714285714,2
"v2_lgb_lower_learning_rate",20260423,"severity","Power",0.163095317213686,0.143920333776663,0.176814988290398,3
"v2_lgb_lower_learning_rate",20260423,"severity","Region",0.102368678706105,0.153617169662211,0.10655737704918,4
"v2_lgb_lower_learning_rate",20260423,"severity","CarAge",0.0838276272018474,0.0657449608450255,0.104215456674473,5
"v2_lgb_lower_learning_rate",20260423,"severity","Brand",0.0724122026994262,0.0795498711188913,0.0983606557377049,6
"v2_lgb_lower_learning_rate",20260423,"severity","Gas",0.0214966422383854,0.0119317096591616,0.0257611241217799,7
"v2_lgb_lower_learning_rate",20260423,"capped_severity","logDensity",0.233816612370514,0.264176654030513,0.239010989010989,1
"v2_lgb_lower_learning_rate",20260423,"capped_severity","DriverAge",0.208707008203107,0.265919002554244,0.211538461538462,2
"v2_lgb_lower_learning_rate",20260423,"capped_severity","Power",0.183008459804466,0.138567732485721,0.17032967032967,3
"v2_lgb_lower_learning_rate",20260423,"capped_severity","Region",0.158441116520319,0.121563701522642,0.162087912087912,4
"v2_lgb_lower_learning_rate",20260423,"capped_severity","Brand",0.108801121511504,0.112622347083029,0.107142857142857,5
"v2_lgb_lower_learning_rate",20260423,"capped_severity","CarAge",0.083275229556329,0.074724390778309,0.0851648351648352,6
"v2_lgb_lower_learning_rate",20260423,"capped_severity","Gas",0.0239504520337615,0.0224261715455427,0.0247252747252747,7
"v2_lgb_lower_learning_rate",20260431,"frequency","DriverAge",0.36950358496238,0.268822511854367,0.205,1
"v2_lgb_lower_learning_rate",20260431,"frequency","logDensity",0.264638324707251,0.255137078722218,0.208148148148148,2
"v2_lgb_lower_learning_rate",20260431,"frequency","CarAge",0.0815220247696108,0.115075859692999,0.132592592592593,3
"v2_lgb_lower_learning_rate",20260431,"frequency","Power",0.0785512994922395,0.0922910100963168,0.147962962962963,4
"v2_lgb_lower_learning_rate",20260431,"frequency","Brand",0.0765177960657453,0.0958341308412551,0.123333333333333,5
"v2_lgb_lower_learning_rate",20260431,"frequency","Region",0.0764132456063981,0.0864537985019874,0.138703703703704,6
"v2_lgb_lower_learning_rate",20260431,"frequency","Gas",0.0528537243963749,0.0863856102908574,0.0442592592592593,7
"v2_lgb_lower_learning_rate",20260431,"severity","DriverAge",0.438655229511184,0.345353119231502,0.24812030075188,1
"v2_lgb_lower_learning_rate",20260431,"severity","logDensity",0.160666099265421,0.19466310811879,0.229323308270677,2
"v2_lgb_lower_learning_rate",20260431,"severity","Power",0.137123306715206,0.19670082624646,0.161654135338346,3
"v2_lgb_lower_learning_rate",20260431,"severity","CarAge",0.102203412048357,0.0729637930152649,0.154135338345865,4
"v2_lgb_lower_learning_rate",20260431,"severity","Brand",0.0734778933706465,0.0726115804695237,0.0902255639097744,5
"v2_lgb_lower_learning_rate",20260431,"severity","Region",0.0708876691859301,0.0992367565757966,0.0977443609022556,6
"v2_lgb_lower_learning_rate",20260431,"severity","Gas",0.0169863899032556,0.0184708163426621,0.018796992481203,7
"v2_lgb_lower_learning_rate",20260431,"capped_severity","DriverAge",0.286289016458801,0.357980961376834,0.264705882352941,1
"v2_lgb_lower_learning_rate",20260431,"capped_severity","logDensity",0.186858063937474,0.145462139851865,0.201680672268908,2
"v2_lgb_lower_learning_rate",20260431,"capped_severity","Power",0.157850168959819,0.184841975365068,0.15546218487395,3
"v2_lgb_lower_learning_rate",20260431,"capped_severity","Region",0.15070239278092,0.0950763144597556,0.147058823529412,4
