"model_id","seed","component","Feature","Gain","Cover","Frequency","rank"
"v2_lgb_stronger_l2",20260423,"frequency","DriverAge",0.410971627021936,0.295521291547469,0.225595238095238,1
"v2_lgb_stronger_l2",20260423,"frequency","logDensity",0.283213211808532,0.280730982756839,0.21547619047619,2
"v2_lgb_stronger_l2",20260423,"frequency","CarAge",0.0777297269554122,0.120706720416373,0.136309523809524,3
"v2_lgb_stronger_l2",20260423,"frequency","Power",0.0657935879380521,0.0807040781322207,0.142857142857143,4
"v2_lgb_stronger_l2",20260423,"frequency","Gas",0.0556340849946889,0.0835078156421941,0.0654761904761905,5
"v2_lgb_stronger_l2",20260423,"frequency","Brand",0.0537860708263641,0.0803971855032012,0.104761904761905,6
"v2_lgb_stronger_l2",20260423,"frequency","Region",0.0528716904550154,0.0584319260017023,0.10952380952381,7
"v2_lgb_stronger_l2",20260423,"severity","DriverAge",0.377811939477599,0.340971318449576,0.250965250965251,1
"v2_lgb_stronger_l2",20260423,"severity","logDensity",0.187221956422728,0.222029694286981,0.245173745173745,2
"v2_lgb_stronger_l2",20260423,"severity","Power",0.176041463972373,0.14013375483724,0.191119691119691,3
"v2_lgb_stronger_l2",20260423,"severity","Region",0.103168747039661,0.153000282370045,0.1003861003861,4
"v2_lgb_stronger_l2",20260423,"severity","CarAge",0.0786626596350115,0.0625314503296138,0.106177606177606,5
"v2_lgb_stronger_l2",20260423,"severity","Brand",0.069125754633911,0.0766729562533463,0.0965250965250965,6
"v2_lgb_stronger_l2",20260423,"severity","Gas",0.00796747881871688,0.00466054347319756,0.00965250965250965,7
"v2_lgb_stronger_l2",20260423,"capped_severity","logDensity",0.24451921156522,0.271214306904572,0.255494505494505,1
"v2_lgb_stronger_l2",20260423,"capped_severity","DriverAge",0.194721113567754,0.255029134216682,0.192307692307692,2
"v2_lgb_stronger_l2",20260423,"capped_severity","Power",0.166198804596834,0.138145782049337,0.159340659340659,3
"v2_lgb_stronger_l2",20260423,"capped_severity","Region",0.153546474023589,0.112704390551742,0.153846153846154,4
"v2_lgb_stronger_l2",20260423,"capped_severity","CarAge",0.110578215847143,0.0880352313035628,0.107142857142857,5
"v2_lgb_stronger_l2",20260423,"capped_severity","Brand",0.0985045992228,0.111825721599328,0.0961538461538462,6
"v2_lgb_stronger_l2",20260423,"capped_severity","Gas",0.0319315811766609,0.0230454333747757,0.0357142857142857,7
"v2_lgb_stronger_l2",20260431,"frequency","DriverAge",0.401668893143455,0.288183424868092,0.22202380952381,1
"v2_lgb_stronger_l2",20260431,"frequency","logDensity",0.278106898811044,0.272343633101185,0.218452380952381,2
"v2_lgb_stronger_l2",20260431,"frequency","Brand",0.0692338901826885,0.0932015949412943,0.119642857142857,3
"v2_lgb_stronger_l2",20260431,"frequency","CarAge",0.0665730287176442,0.103360386300504,0.116071428571429,4
"v2_lgb_stronger_l2",20260431,"frequency","Power",0.0657744667479449,0.0842898776532421,0.142261904761905,5
"v2_lgb_stronger_l2",20260431,"frequency","Gas",0.0605866905636393,0.0892067506560763,0.0648809523809524,6
"v2_lgb_stronger_l2",20260431,"frequency","Region",0.0580561318335843,0.0694143324796066,0.116666666666667,7
"v2_lgb_stronger_l2",20260431,"severity","DriverAge",0.440529718984753,0.360113650102769,0.255639097744361,1
